Table,Column,Type,Length,Precision-Scale,Nullable,PK,StructType,Description
calendar,listing_id,INTEGER,,,0,1,IntegerType(),ID of Airbnb listing
calendar,date,DATE,,,0,1,DateType(),Calendar date for reservations
calendar,available,BOOLEAN,,,1,0,BooleanType(),"Boolean value for availability of booking. The Airbnb calendar for a listing does not differentiate between a booked night vs an unavailable night, therefore these bookings have been counted as ""unavailable"". This serves to understate the Availability metric because popular listings will be ""booked"" rather than being ""blacked out"" by a host."
calendar,price,NUMERIC,,"(8,2)  ",1,0,FloatType(),Price per night of booking or reservation
calendar,adjusted_price,NUMERIC,,"(8,2)  ",1,0,FloatType(),Adjusted price per night of booking or reservation
calendar,minimum_nights,INTEGER,,,1,0,IntegerType(),Minimum number of nights for booking
calendar,maximum_nights,INTEGER,,,1,0,IntegerType(),Maximum number of nights for booking
listings,id,INTEGER,,,0,1,IntegerType(),ID of Airbnb listing
listings,name,VARCHAR,255,,1,0,StringType(),Name of Airbnb listing
listings,host_id,INTEGER,,,1,0,IntegerType(),ID of Airbnb host
listings,host_name,VARCHAR,255,,1,0,StringType(),Name of Airbnb host
listings,neighbourhood_group,VARCHAR,255,,1,0,StringType(),Airbnb neighbourhood names. Not used because of their inaccuracies
listings,neighbourhood,VARCHAR,255,,1,0,StringType(),Approximate zipcode listing is located in. Town for non-U.S. location
listings,latitude,DECIMAL,,"(9,6)  ",1,0,FloatType(),Approximate latitude of listing
listings,longitude,DECIMAL,,"(9,6)  ",1,0,FloatType(),Approximate longitude of listing
listings,room_type,VARCHAR,20,,1,0,StringType(),"Room type of listing. One of (Entire home/apt, Private room, Hotel room, Shared room)"
listings,price,NUMERIC,,"(8,2)  ",1,0,FloatType(),Price per night of booking or reservation
listings,minimum_nights,INTEGER,,,1,0,IntegerType(),Minimum number of nights for booking
listings,number_of_reviews,INTEGER,,,1,0,IntegerType(),Total number of reviews for listing
listings,last_review,DATE,,,1,0,DateType(),Date of last review for listing
listings,reviews_per_month,FLOAT,,,1,0,FloatType(),Number of reviews per month
listings,calculated_host_listings_count,FLOAT,,,1,0,FloatType(),Number of hosts managing the listing?
listings,availability_365,INTEGER,,,1,0,IntegerType(),Number of days listing is available in the year
neighbourhoods,neighbourhood_group,VARCHAR,255,,1,0,StringType(),Airbnb neighbourhood names. Not used because of their inaccuracies
neighbourhoods,neighbourhood,VARCHAR,255,,0,1,StringType(),Approximate zipcode listing is located in. Town for non-U.S. location
reviews,listing_id,INTEGER,,,0,1,IntegerType(),ID of Airbnb listing
reviews,date,DATE,,,1,0,DateType(),Date of review for listing. Reviewers can only leave a review within 14 days after checking out.
reviews_full,listing_id,INTEGER,,,1,0,IntegerType(),ID of Airbnb listing
reviews_full,id,INTEGER,,,0,1,IntegerType(),ID of review
reviews_full,date,DATE,,,1,0,DateType(),Date of review for listing
reviews_full,reviewer_id,INTEGER,,,1,0,IntegerType(),ID of reviewer
reviews_full,reviewer_name,VARCHAR,255,,1,0,StringType(),Name of reviewer
reviews_full,comments,TEXT,,,1,0,StringType(),Comments from reviewer
listings_full,id,INTEGER,,,0,1,IntegerType(),ID of Airbnb listing
listings_full,listing_url,TEXT,,,1,0,StringType(),URL of listing on Airbnb
listings_full,scrape_id,BIGINT,,,1,0,LongType(),ID of webscrape from Airbnb website
listings_full,last_scraped,DATE,,,1,0,DateType(),Date of webscrape from Airbnb website
listings_full,name,VARCHAR,255,,1,0,StringType(),Name of Airbnb listing
listings_full,summary,TEXT,,,1,0,StringType(),Description of Airbnb listing from the host
listings_full,space,TEXT,,,1,0,StringType(),Description of space of Airbnb listing from the host
listings_full,description,TEXT,,,1,0,StringType(),Further description of Airbnb listing from the host
listings_full,experiences_offered,TEXT,,,1,0,StringType(),Airbnb Experiences available at this listing
listings_full,neighborhood_overview,TEXT,,,1,0,StringType(),Description of neighborhood of Airbnb listing from the host
listings_full,notes,TEXT,,,1,0,StringType(),Special notes about the listing from the Airbnb host
listings_full,transit,TEXT,,,1,0,StringType(),Description of available transit from the Airbnb host
listings_full,access,TEXT,,,1,0,StringType(),Description of access from the Airbnb host
listings_full,interaction,TEXT,,,1,0,StringType(),Description of ways to interact with or contact host from the Airbnb host
listings_full,house_rules,TEXT,,,1,0,StringType(),Description of house rules during guests' stay at listing from the Airbnb host
listings_full,thumbnail_url,TEXT,,,1,0,StringType(),URL of thumbnail photo of listing? All currently null
listings_full,medium_url,TEXT,,,1,0,StringType(),URL of main picture of listing (medium size)? All currently null
listings_full,picture_url,TEXT,,,1,0,StringType(),URL of main picture of listing
listings_full,xl_picture_url,TEXT,,,1,0,StringType(),URL of main picture of listing (XL size)? All currently null
listings_full,host_id,INTEGER,,,1,0,IntegerType(),ID of Airbnb host
